sustancia,e_number,doi,titulo,archivo_destino,descargado
Calcium lignosulphonate (40-65),,10.2903/j.efsa.2010.1525,Scientific Opinion on the use of calcium lignosulphonate (40-65) as a carrier for vitamins and carotenoids,sinE_10.2903_j.efsa.2010.1525.pdf,
Caustic sulphite caramel; Ammonia caramel; Plain caramel; Caramel colours; Sulphite ammonia caramel,E150,10.2903/j.efsa.2011.2004,"Scientific opinion on the re-evaluation of caramel colours (E 150 a,b,c,d) as food additives",E150_10.2903_j.efsa.2011.2004.pdf,
Dimethyl dicarbonate,E242,10.2903/j.efsa.2015.4319,"Scientific opinion on the re-evaluation of dimethyl dicarbonate (DMDC, E 242) as a food additive",E242_10.2903_j.efsa.2015.4319.pdf,
Silver (Ag),E174,10.2903/j.efsa.2016.4364,Scientific opinion on the re-evaluation of silver (E 174) as food additive,E174_10.2903_j.efsa.2016.4364.pdf,
White mineral oil (petroleum); White mineral oil with high viscosity (kinematic viscosity at 100 °C not less than 11 mm²/s),,10.2903/j.efsa.2013.3073,Scientific opinion on the safety assessment of medium viscosity white mineral oils with a kinematic viscosity between 8.5 - 11 mm²/s at 100 °C for the proposed uses as a food additive,sinE_10.2903_j.efsa.2013.3073.pdf,
Allura Red AC,,10.2903/j.efsa.2013.3234,Statement on Allura Red AC and other sulphonated mono azo dyes authorised as food and feed additives.,sinE_10.2903_j.efsa.2013.3234.pdf,
Erythritol,E968,10.2903/j.efsa.2013.3121,Statement on a refined dietary exposure assessment of erythritol (E 968) taking into account additional data provided.,E968_10.2903_j.efsa.2013.3121.pdf,
Nitrites; Nitrate,,10.2903/j.efsa.2010.1538,Statement on nitrites in meat products,sinE_10.2903_j.efsa.2010.1538.pdf,
Sodium stearoyl-2-lactylate and calcium stearoyl-2-lactylate; Sodium stearoyl-2-lactylate; Calcium stearoyl-2-lactylate,,10.2903/j.efsa.2013.3125,Statement on the exposure assessment of sodium stearoyl-2-lactylate and calcium stearoyl-2-lactylate including exposure resulting from extension of the authorisation of sodium stearoyl-2-lactylates.,sinE_10.2903_j.efsa.2013.3125.pdf,
Tertiary-butyl hydroquinone (TBHQ),E319,10.2903/j.efsa.2016.4363,Statement on the refined exposure assessment of tertiary-butyl hydroquinone (E 319),E319_10.2903_j.efsa.2016.4363.pdf,
Lutein,,10.2903/j.efsa.2012.2589,Statement on the safety assessment of the exposure to lutein preparations based on new data on the use levels of lutein,sinE_10.2903_j.efsa.2012.2589.pdf,
Beta-carotene,,10.2903/j.efsa.2012.2953,Statement on the safety of Beta-carotene use in heavy smokers.,sinE_10.2903_j.efsa.2012.2953.pdf,
Iodized ethyl esters of poppy seed oil,,10.2903/j.efsa.2013.3120,Statement on the safety of iodized ethyl esters of poppy seed oil as a source of iodine added for nutritional purposes to foodstuffs.,sinE_10.2903_j.efsa.2013.3120.pdf,
(ver título),E955,10.2903/j.efsa.2017.4784,Statement on the validity of the conclusions of a mouse carcinogenicity study on sucralose (E 955) performed by the Ramazzini Institute,E955_10.2903_j.efsa.2017.4784.pdf,
(ver título),,10.2903/j.efsa.2011.1996,Statement on two recent scientific articles on the safety of artificial sweeteners,sinE_10.2903_j.efsa.2011.1996.pdf,
Lycopene,,10.2903/j.efsa.2008.674,Use of lycopene as a food colour,sinE_10.2903_j.efsa.2008.674.pdf,
